City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,lorengau,-2.0226,147.2712,81.68,82,93,9.69,PG,1727716077
327,laguna,38.421,-121.4238,74.21,50,0,4.61,US,1727716078
328,namdrik,5.5994,168.1028,82.94,73,100,18.95,MH,1727716078
329,trimbak,19.9333,73.55,71.76,92,7,0.81,IN,1727716078
330,rikaze,29.25,88.8833,59.83,46,33,0.76,CN,1727716078
331,lompoc,34.6391,-120.4579,70.21,77,0,0.0,US,1727716078
332,komarichi,52.4151,34.7905,60.21,36,100,14.65,RU,1727716079
333,santana,-0.0583,-51.1817,95.18,46,20,11.5,BR,1727715978
334,saldanha,-33.0117,17.9442,52.57,51,29,12.95,ZA,1727716079
335,paithan,19.4833,75.3833,78.66,79,6,7.09,IN,1727716079
336,arendal,58.4615,8.7725,51.01,79,100,10.49,NO,1727716079
337,gadzhiyevo,69.2551,33.3362,37.31,77,30,17.96,RU,1727716079
338,prince rupert,54.3161,-130.3201,47.89,81,100,21.85,CA,1727715960
339,luganville,-15.5333,167.1667,75.45,90,5,4.27,VU,1727715980
340,badagry,6.4167,2.8833,79.32,82,78,11.83,NG,1727716080
341,deir ez-zor,35.3359,40.1408,86.99,16,0,6.02,SY,1727716080
342,angaur state,6.906,134.13,83.48,78,94,13.13,PW,1727716080
343,inyonga,-6.7167,32.0667,82.38,36,42,8.03,TZ,1727716080
344,new ulm,44.3125,-94.4605,81.43,40,0,18.41,US,1727716080
345,patterson,37.4716,-121.1297,75.15,50,0,5.41,US,1727716080
346,porto novo,6.4965,2.6036,79.79,78,95,10.02,BJ,1727716081
347,petropavlovsk-kamchatsky,53.0452,158.6483,42.31,73,97,13.13,RU,1727716081
348,la passe,45.5549,-0.8967,62.83,80,98,10.71,FR,1727716081
349,youssoufia,32.2463,-8.5294,90.48,33,61,16.67,MA,1727716081
350,kerman,30.2832,57.0788,76.86,23,20,9.22,IR,1727716081
351,lahij,13.1667,44.5833,85.84,60,71,6.53,YE,1727716082
352,borogontsy,62.6683,131.1683,23.41,99,52,1.79,RU,1727716082
353,noyemberyan,41.1724,44.9992,52.68,62,2,5.95,AM,1727716082
354,salmon arm,50.6998,-119.3024,52.32,74,6,1.41,CA,1727716082
355,fort-shevchenko,44.5086,50.263,68.88,35,0,11.39,KZ,1727716082
356,severo-yeniseyskiy,60.3725,93.0408,43.47,97,100,8.61,RU,1727716082
357,fada,7.25,4.0667,76.42,95,70,4.63,NG,1727716082
358,hamilton,39.1834,-84.5333,73.11,94,75,6.91,US,1727716083
359,kidal,18.4411,1.4078,103.5,15,41,13.02,ML,1727716083
360,praia da vitoria,38.7333,-27.0667,76.17,80,55,11.16,PT,1727716083
361,batamshinskiy,50.5594,58.2747,57.52,34,4,9.08,KZ,1727716083
362,alice springs,-23.7,133.8833,51.35,50,1,4.61,AU,1727716083
